timestamp,sensor_1,sensor_2,sensor_3,is_fault,sensor_1_iqr_outlier,sensor_1_zscore_outlier,sensor_2_iqr_outlier,sensor_2_zscore_outlier,sensor_3_iqr_outlier,sensor_3_zscore_outlier
2026-01-07T17:30:00.000,7.6601304748,17.9605574408,6.9412478196,0,False,False,True,False,False,False
2026-01-08T08:00:00.000,2.6501012552,17.7248906349,5.2010211248000005,0,False,False,True,False,False,False
2026-01-08T20:15:00.000,3.7097307929000003,20.7005193693,9.0958193181,0,False,False,True,True,False,False
2026-01-08T21:30:00.000,18.0090724691,10.5609270235,2.7823758169,0,True,True,False,False,False,False
2026-01-09T01:30:00.000,1.4249224815,18.058759194,10.9863192781,0,False,False,True,False,False,False
2026-01-09T13:45:00.000,10.781423374,8.3099585434,18.9115877393,0,False,False,False,False,True,True
2026-01-09T16:30:00.000,16.8311860868,1.2550767013,5.1360947348,0,True,False,False,False,False,False
2026-01-09T23:00:00.000,6.7251034821,0.6582478763,18.251095328,0,False,False,False,False,True,False
2026-01-10T01:00:00.000,17.0664767833,5.6380624336,12.2711313414,0,True,False,False,False,False,False
2026-01-10T08:00:00.000,19.1553485769,3.2481129054,0.2534466933,0,True,True,False,False,False,False
2026-01-10T09:30:00.000,-6.9058120517,11.1146839489,0.7288483448,0,True,True,False,False,False,False
2026-01-10T10:45:00.000,18.482633361,3.9398315654,6.3272807711,0,True,True,False,False,False,False
2026-01-11T01:15:00.000,6.5619771354,22.3281855449,4.3788055102,0,False,False,True,True,False,False
2026-01-11T21:00:00.000,6.8006090301,18.3595140225,9.6489654703,0,False,False,True,False,False,False
2026-01-11T22:30:00.000,11.0161192139,8.9399883628,-12.7935124433,0,False,False,False,False,True,True
2026-01-12T03:15:00.000,17.2566085655,5.8367865905,4.8511945538,0,True,False,False,False,False,False
2026-01-12T04:15:00.000,4.9184387419,20.6913839263,1.4028476868,0,False,False,True,True,False,False
2026-01-12T18:15:00.000,7.3168754794,20.0477796251,3.9626962627,0,False,False,True,True,False,False
2026-01-13T02:15:00.000,17.4088991782,5.0648105351,5.0153898484,0,True,False,False,False,False,False
2026-01-13T05:15:00.000,1.6053426311,-8.1545398954,6.4790601569,0,False,False,True,True,False,False
2026-01-13T17:15:00.000,12.3902681657,19.647553802,5.7000728683,0,False,False,True,True,False,False
2026-01-14T16:45:00.000,4.7343091535,18.8300091479,3.5744508569,0,False,False,True,True,False,False
2026-01-15T05:30:00.000,6.3732506314,9.468641742500001,19.8361414598,0,False,False,False,False,True,True
2026-01-15T05:45:00.000,6.7320506663,17.4957184199,1.159484413,0,False,False,True,False,False,False
2026-01-15T06:00:00.000,7.0908507013,18.510033855,12.721585623,0,False,False,True,False,False,False
2026-01-15T06:15:00.000,3.8253368198,19.524349290099998,6.2655512408,0,False,False,True,True,False,False
2026-01-15T09:15:00.000,17.1768358558,8.7693965318,8.5522659228,0,True,False,False,False,False,False
2026-01-16T02:30:00.000,17.017846776,6.7524120695,8.8074946597,0,True,False,False,False,False,False
2026-01-16T13:00:00.000,6.2229222038,-8.0664927918,9.2554318517,0,False,False,True,True,False,False
2026-01-16T16:30:00.000,16.983376239000002,10.899059932,6.2273621721,0,True,False,False,False,False,False
2026-01-16T19:30:00.000,17.7419983889,3.7735458482,4.0566598251,0,True,True,False,False,False,False
2026-01-17T21:45:00.000,5.9109034692,10.3131874916,-10.7865829624,0,False,False,False,False,True,True
2026-01-18T05:15:00.000,9.0139856215,20.9930605415,10.8656773787,1,False,False,True,True,False,False
2026-01-18T07:30:00.000,6.7496419125,1.7555063379,18.0832566073,1,False,False,False,False,True,False
2026-01-18T14:30:00.000,7.6272533311,1.9988751062999999,17.8751670828,1,False,False,False,False,True,False
2026-01-19T03:45:00.000,7.4262017161,7.7458455574,19.3716404616,1,False,False,False,False,True,True
2026-01-19T11:30:00.000,-6.9716267156,8.2865419227,8.4410470094,0,True,True,False,False,False,False
2026-01-20T07:15:00.000,5.1357390357,18.2219881497,8.5782211375,0,False,False,True,False,False,False
2026-01-20T16:15:00.000,12.8562978792,3.9661764268,18.2406773358,1,False,False,False,False,True,False
2026-01-20T19:00:00.000,2.6753004095,21.7945273741,1.314961774,1,False,False,True,True,False,False
2026-01-20T21:15:00.000,5.6784729294,19.0294249657,4.9989753396,1,False,False,True,True,False,False
2026-01-21T02:15:00.000,2.8878179659,18.2087005664,6.1102717275,1,False,False,True,False,False,False
2026-01-21T03:45:00.000,9.1541473038,18.3029972161,1.0646846074,0,False,False,True,False,False,False
2026-01-21T04:30:00.000,1.026973712,-7.5256024871000005,2.5066764022,0,False,False,True,True,False,False
2026-01-21T09:45:00.000,8.0339030065,3.7897776751,18.1628163338,0,False,False,False,False,True,False
